station,n_picks,mean_residual_s,median_residual_s,rms_residual_s,mad_residual_s,p90_abs_residual_s,station_static_s
BAR2,1487,0.12757089635086521,0.1179028618953097,0.3585728832529285,0.23812076692830939,0.5525389459099801,-0.3384143667679328
BRJC,1467,-0.0067248056971305386,0.0302802783475009,0.366995071805463,0.2313778186502141,0.5106154040575269,0.1290328109929612
PAM,1420,0.03607554817143326,0.03558652034396555,0.4792980702641959,0.18522649812687927,0.4979790051650556,-0.2702873052040901
PTB1,1257,-0.10264825553432987,-0.1150396370090263,0.28235082617334384,0.16347809573040753,0.463740506460384,0.2049436770539443
VMM10,1048,0.013782048864502947,0.05754618517720455,0.34955971167828204,0.17527784646440597,0.4628578084425857,-0.1087461724639862
PDSC,467,0.06962461556759583,-0.0468358581965553,0.7496440129127423,0.2224276316068642,0.6548950182367784,-0.3252211661962089
CPAM3,460,0.04556624172951682,0.0215249552713494,0.2950955746104138,0.21087086823693652,0.45121464835273983,-0.0627450850482284
PTB,432,-0.11040699274654082,-0.1339025036150403,0.29405029297726837,0.12667300445960275,0.40413551571582357,0.2409138705029658
VMM07,276,0.02473356444836666,-0.0039948447825092995,0.31438212453449205,0.1988453368307202,0.4722631646993562,0.1117760155828154
CPAMP,140,-0.22698341176502115,-0.1780090597441184,0.45749142186992814,0.2466354826322344,0.7387621982247192,-0.2284103350132687
VMM09,29,-0.05749595629885107,-0.1184702725706756,0.3937518798965903,0.1960486112727163,0.510540737789366,-0.1638636778259748
VMM11,18,0.1804556326441549,0.18014210638271505,0.3413237968086377,0.30518298885719136,0.5376364982586644,-0.5795672440343708
VMM05,10,0.1197262548381726,-0.09221139813909571,0.5496472661683028,0.5523127645518173,0.8755373797956998,0.8743219886996392
VMM12,2,0.27196619130860705,0.27196619130860705,0.2748681726000962,0.05906078284199097,0.30383495312810843,1.064470298926368
