station,n_picks,mean_residual_s,median_residual_s,rms_residual_s,mad_residual_s,p90_abs_residual_s,station_static_s,latitude,longitude,elevation_m,site_name
BAR2,1487,0.1275708963508652,0.1179028618953097,0.3585728832529285,0.2381207669283093,0.5525389459099801,-0.3384143667679328,6.592,-73.182,1864.0,"Barichara, Santander, Colombia"
BRJC,1467,-0.0067248056971305,0.0302802783475009,0.366995071805463,0.2313778186502141,0.5106154040575269,0.1290328109929612,6.9732,-73.74416,108.0,"Barrancabermeja, Santander, Colombia"
PAM,1420,0.0360755481714332,0.0355865203439655,0.4792980702641959,0.1852264981268792,0.4979790051650556,-0.2702873052040901,7.3395,-72.6995,3676.0,"Pamplona, Norte de Santander, Colombia"
PTB1,1257,-0.1026482555343298,-0.1150396370090263,0.2823508261733438,0.1634780957304075,0.463740506460384,0.2049436770539443,6.53321,-74.45888,141.0,"Puerto Berrio 1, Antioquia"
VMM10,1048,0.0137820488645029,0.0575461851772045,0.349559711678282,0.1752778464644059,0.4628578084425857,-0.1087461724639862,6.767,-73.725,165.0,"El Carmen de Chucuri, Santander, Colombia"
PDSC,467,0.0696246155675958,-0.0468358581965553,0.7496440129127423,0.2224276316068642,0.6548950182367784,-0.3252211661962089,6.992156,-73.064184,958.0,"Piedecuesta, Santander, Colombia"
CPAM3,460,0.0455662417295168,0.0215249552713494,0.2950955746104138,0.2108708682369365,0.4512146483527398,-0.0627450850482284,7.36444,-72.66475,2422.5,"Pamplona, Norte de Santander, Colombia"
PTB,432,-0.1104069927465408,-0.1339025036150403,0.2940502929772683,0.1266730044596027,0.4041355157158235,0.2409138705029658,6.5395,-74.456333,260.0,"Puerto Berrio, Antioquia, Colombia"
VMM07,276,0.0247335644483666,-0.0039948447825092,0.314382124534492,0.1988453368307202,0.4722631646993562,0.1117760155828154,7.3601,-73.8519,91.0,"Puerto Wilches, Santander, Colombia"
CPAMP,140,-0.2269834117650211,-0.1780090597441184,0.4574914218699281,0.2466354826322344,0.7387621982247192,-0.2284103350132687,7.379,-72.6372,2384.0,"Pamplona, Norte de Santander, Colombia"
VMM09,29,-0.057495956298851,-0.1184702725706756,0.3937518798965903,0.1960486112727163,0.510540737789366,-0.1638636778259748,7.1269,-73.2898,1079.0,"Lebrija, Santander, Colombia"
VMM11,18,0.1804556326441549,0.180142106382715,0.3413237968086377,0.3051829888571913,0.5376364982586644,-0.5795672440343708,7.43796,-73.57067,84.0,"Sabana de Torres, Santander"
VMM05,10,0.1197262548381726,-0.0922113981390957,0.5496472661683028,0.5523127645518173,0.8755373797956998,0.8743219886996392,7.9068,-73.557,86.0,"San Martin, Cesar, Colombia"
VMM12,2,0.271966191308607,0.271966191308607,0.2748681726000962,0.0590607828419909,0.3038349531281084,1.064470298926368,8.08644,-73.88861,66.0,"Simiti,Bolivar"
