laplace_weight,damp_weight,data_norm,model_norm,laplacian_norm,lsmr_iterations,lsmr_acond,selected
1.0,0.1,32.70721099353951,0.4986465095709962,1.925286829090537,303,11.036907880010496,False
1.0,0.25,32.70724856368743,0.4984440847744113,1.9246726979498288,302,20.949171339236635,False
1.0,0.5,32.70738722827848,0.49769078255578153,1.922455419664397,300,28.05398533821275,False
1.0,1.0,32.7079406398561,0.4948299865713148,1.9138421571396103,294,30.82073503641238,False
2.0,0.1,32.751876932026335,0.42120149800752804,1.5420355128554308,257,30.077937168377026,False
2.0,0.25,32.75192465196635,0.4210950333928385,1.5417887921669964,256,31.979775478214172,False
2.0,0.5,32.75209300048733,0.4207348796303614,1.5409152959028358,256,16.520214576039375,False
2.0,1.0,32.752759273467774,0.41938222442664685,1.5374721920406464,252,15.08539525943931,False
3.0,0.1,32.82520732376801,0.3637403721248011,1.2614560373314805,227,19.7337472476313,False
3.0,0.25,32.825250517882694,0.36368062878670154,1.2613324336981384,228,23.04271887884627,True
3.0,0.5,32.825405100213786,0.3634871949918412,1.2608874830099928,227,22.754273233307444,False
3.0,1.0,32.82602269788892,0.3626710334324824,1.2591287259426407,225,26.456835912700218,False
5.0,0.1,33.00331980070534,0.28898591632870557,0.9037783244846658,181,10.372716562007058,False
5.0,0.25,33.00335268287099,0.28896544711145605,0.9037299535468987,181,15.180059899524775,False
5.0,0.5,33.003468616533425,0.2888679096848589,0.9035614192922903,180,12.390802501812798,False
5.0,1.0,33.00393344604289,0.288499438198283,0.9028859957785789,181,11.176904570730049,False
